name,url
[Feibanyama] Fate-strange Fake S01E05 [IQIYI WebRip 2160p HEVC OPUS Dual-Audio Multi-Subs],https://www.google.com/search?q=Fate+streaming+player
"The Daily Life of the Immortal King S05E02 Its Name 1080p CR WEB-DL DUAL AAC2.0 H 264-VARYG (Xian Wang De Richang Shenghuo, Dual-Audio, Multi-Subs)","https://www.google.com/search?q=The Daily Life of the Immortal King S05E02 Its Name 1080p CR WEB-DL DUAL AAC2.0 H 264-VARYG (Xian Wang De Richang Shenghuo, Dual-Audio, Multi-Subs)+streaming+player"
[Yameii] The Daily Life of the Immortal King - S05E02 [English Dub] [CR WEB-DL 1080p H264 AAC] [3B3A3B43] (Xian Wang de Richang Shenghuo Di Wu Ji | Season 5 | S5),https://www.google.com/search?q=The Daily Life of the Immortal King+streaming+player
[Yameii] The Daily Life of the Immortal King - S05E02 [English Dub] [CR WEB-DL 720p H264 AAC] [E68E544F] (Xian Wang de Richang Shenghuo Di Wu Ji | Season 5 | S5),https://www.google.com/search?q=The Daily Life of the Immortal King+streaming+player
Kamen Rider Zeztz Transformation Classroom EP01-02 [1080p] [WEB-DL] [ENG-US],https://www.google.com/search?q=[WEB+streaming+player
[Anime Time] One Piece - 1155 (Fixed) [1080p][HEVC 10bit x265][AAC][Eng Sub],https://www.google.com/search?q=One Piece+streaming+player
[Erai-raws] Medalist 2nd Season - 02 [1080p DSNP WEBRip HEVC AAC][MultiSub][240B47A2],https://www.google.com/search?q=Medalist 2nd Season+streaming+player
[EternalSleeper] Kamen Rider Zeztz -  19 [AMZN] [0B4E4930].mkv,https://www.google.com/search?q=Kamen Rider Zeztz+streaming+player
[EternalSleeper] Kamen Rider Zeztz -  18 [AMZN] [C7BE8CC1].mkv,https://www.google.com/search?q=Kamen Rider Zeztz+streaming+player
[Erai-raws] Yuusha no Kuzu - 04 [1080p CR WEBRip HEVC AAC][MultiSub][E695C98C],https://www.google.com/search?q=Yuusha no Kuzu+streaming+player
Digimon.Beatbreak.E13.Reunió.de.les.Cinc.Estreles.WEBRip.x264-H3AsO3,https://www.google.com/search?q=Digimon.Beatbreak.E13.Reunió.de.les.Cinc.Estreles.WEBRip.x264-H3AsO3+streaming+player
[Cifer] Sousou no Frieren S1 [BD 1080p Opus] | Frieren: Beyond Journey's End S1,https://www.google.com/search?q=Sousou no Frieren S1 [BD 1080p Opus+streaming+player
"[QTS-remux] The Rebirth of Buddha (BD H264 720p, multi-audio, multisub)","https://www.google.com/search?q=The Rebirth of Buddha (BD H264 720p, multi+streaming+player"
"[QTS-remux] The Mystical Laws (BD 720p, dual audio, multisub)","https://www.google.com/search?q=The Mystical Laws (BD 720p, dual audio, multisub)+streaming+player"
[TokuScrub] Kamen Rider Nox - Transformation Course [Web - 1080],https://www.google.com/search?q=Kamen Rider Nox+streaming+player
[Erai-raws] Toujima Tanzaburou wa Kamen Rider ni Naritai - 17 [1080p CR WEBRip HEVC AAC][MultiSub][9C941C1F],https://www.google.com/search?q=Toujima Tanzaburou wa Kamen Rider ni Naritai+streaming+player
[sgt] Does It Count If You Lose Your Innocence to an Android? - S01E04 (WEB 1080p HEVC) | Does it Count if You Lose Your Virginity to an Android? | Android wa Keiken Ninzuu ni Hairimasu ka??,https://www.google.com/search?q=Does It Count If You Lose Your Innocence to an Android?+streaming+player
[Inka-Subs] Akuma-kun (1989) - Episode 27,https://www.google.com/search?q=Akuma+streaming+player
スターゲイザー～星に願いを～ 第01-03巻 [Sutageiza Hoshi ni negaio vol 01-03],https://www.google.com/search?q=+streaming+player
[Erai-raws] Jingai Kyoushitsu no Ningengirai Kyoushi - 04 [1080p CR WEBRip HEVC AAC][MultiSub][1BDA99BF],https://www.google.com/search?q=Jingai Kyoushitsu no Ningengirai Kyoushi+streaming+player
